Title,Genres,Tags,Director,Screenwriter,Actors,url
Pride,"['Romance', 'Drama', 'Sports']","['Ice Hockey', 'Bromance', 'Teamwork']","['Nakae Isamu', 'Sawada Kensaku']",['Nojima Shinji'],"['Kimura Takuya', 'Takeuchi Yuko', 'Sakaguchi Kenji']",['https://i.mydramalist.com/0XArr_4f.jpg']
True Beauty,"['Comedy', 'Romance', 'Youth']","['Makeover', 'Popular Male Lead', 'High School']",['Kim Sang Hyub'],['Lee Shi Eun'],"['Mun Ka Young', 'Cha Eun Woo', 'Hwang In Youp']",['https://i.mydramalist.com/qP2kK_4f.jpg']
P.S. I Hate You,"['Mystery', 'Romance', 'Drama']","['Female Centered Plot', 'Betrayed By A Friend', 'Long Time Friends']","['Tle Tawan Charuchinda', 'Snap25 Team']",['Baison Jinatcha Maneesriwong'],"['Pearwah Nichaphat Chatchaipholrat', 'Jan Ployshompoo Supasap', 'Pat Chayanit Chansangavej']",['https://i.mydramalist.com/B8JrA_4f.jpg']
The Land of Warriors,"['Romance', 'Wuxia', 'Fantasy']","['Xuanhuan', 'Action', 'Age Gap [Real Life]']",['Pot Lee'],"['Wang Juan', 'Tian Liang Liang']","['Zhou Yi Ran', 'Zhang Yu Xi', 'Ding Jia Yi']",['https://i.mydramalist.com/RBWx0r_4f.jpg']
Come and Hug Me,"['Thriller', 'Mystery', 'Romance']","['Trauma', 'Nice Male Lead', 'Healing']",['Choi Joon Bae'],['Lee A Ram'],"['Jang Ki Yong', 'Jin Ki Joo', 'Huh Joon Ho']",['https://i.mydramalist.com/X8Bwqf.jpg']
HIStory3,"['Action', 'Thriller', 'Mystery']","['Gay Romance', 'Multiple Endings', 'Anthology']","['Tsai Mi Chieh', 'Gia Lee']","['Lin Pei Yu', 'Shao Hui Ting']","['Jake Hsu', 'Chris Wu', 'Andy Bian']",['https://i.mydramalist.com/4epowJ_4f.jpg']
HIStory3: Trapped,"['Action', 'Thriller', 'Mystery']","['LGBTQ+', 'Nice Male Lead', 'Enemies To Lovers']",['Gia Lee'],"['Lin Pei Yu', 'Shao Hui Ting']","['Jake Hsu', 'Chris Wu', 'Andy Bian']",['https://i.mydramalist.com/evZmqf.jpg']
Maiden Holmes,"['Historical', 'Mystery', 'Comedy']","['Cross-Dressing', 'Friendship', 'Nice Male Lead']",['Li Xiao Jiang'],[],"['Sebrina Chen', 'Zhang Ling He', 'Zhang Jia Ding']",['https://i.mydramalist.com/eWVRW_4f.jpg']
Couple of Mirrors,"['Thriller', 'Historical', 'Mystery']","['Sismance', 'Opposites Attract', 'Censored Adaptation Of Same-sex Original Work']",[],[],"['Zhang Nan', 'Sun Yi Han', 'Liu Zhi Yang']",['https://i.mydramalist.com/pbL1r_4f.jpg']
Moonlight,"['Business', 'Comedy', 'Romance']","[""Bickering Mains' Relationship"", 'Childish Male Lead', 'Hardworking Female Lead']",['Elson Chang'],"['Zhu Qi', 'Qiu Ting']","['Esther Yu', 'Ding Yu Xi', 'Yang Shi Ze']",['https://i.mydramalist.com/5vjkX0_4f.jpg']
The Player 2: Master of Swindlers,"['Action', 'Thriller', 'Comedy']","['Loyal Male Lead', 'Driver Female Lead', 'Antihero Male Lead']","['Go Jae Hyun', 'So Jae Hyun']",['Park Sang Moon'],"['Song Seung Heon', 'Oh Yeon Seo', 'Tae Won Seok']",['https://i.mydramalist.com/1wg1JR_4f.jpg']
They Kiss Again,"['Comedy', 'Romance', 'Life']","['Airhead Female Lead', 'Cold Man/Warm Woman', 'Adapted From A Manga']",['Chu Yu Ning'],[],"['Joe Cheng', 'Ariel Lin', 'Cyndi Chaw']",['https://i.mydramalist.com/kARmkf.jpg']
Trigger,"['Action', 'Thriller', 'Mystery']","['Gun Violence', 'Police Officer Male Lead', 'Noir']",['Kwon Oh Seung'],['Kwon Oh Seung'],"['Kim Nam Gil', 'Kim Young Kwang', 'Woo Ji Hyun']",['https://i.mydramalist.com/3oNXoR_4f.jpg']
The World of the Married,"['Thriller', 'Romance', 'Drama']","['Extramarital Affair', 'Revenge', 'Sexual Content']",['Mo Wan Il'],['Joo Hyun'],"['Kim Hee Ae', 'Park Hae Joon', 'Han So Hee']",['https://i.mydramalist.com/W3gKXf.jpg']
Poisonous Love,"['Romance', 'Drama']","['Abusive Parent', 'Adapted From A Web Novel', 'Actress Female Lead']",['Nok Natthaphon Phatcharachayanon'],[],"['Jayna Angelina Stevens', 'Ginny Natnicha Pratipnatsiri', 'Mew Thanthip Thaweesinthanat']",['https://i.mydramalist.com/g06DVP_4f.jpg']
My Calorie Boy,"['Comedy', 'Romance', 'Youth']","['Friendship', 'Transfer Student Male Lead', 'Student Female Lead']",['Ben Fang'],['Wen Ya'],"['Zhai Zi Lu', 'Dai Lu Wa', 'Wang You Jun']",['https://i.mydramalist.com/XWLNw_4f.jpg']
Smells Like Green Spirit,"['Life', 'Youth', 'Drama']","['Coming Of Age', 'LGBTQ+', 'Homophobia']",['Sawada Ikuko'],['Arai Yuka'],"['Araki Towa', 'Sono Shunta', 'Fujimoto Kodai']",['https://i.mydramalist.com/eYmzZY_4f.jpg']
The Forbidden Marriage,"['Historical', 'Mystery', 'Comedy']","['Joseon Dynasty', 'Historical Fiction', 'Love Triangle']","['Jung Hoon', 'Park Sang Woo']",['Cheon Ji Hye'],"['Kim Young Dae', 'Park Ju Hyun', 'Kim Woo Seok']",['https://i.mydramalist.com/1DPrK_4f.jpg']
The Seven Relics of Ill Omen,"['Action', 'Adventure', 'Sci-Fi']","['Teamwork', 'Friendship', 'Slight Romance']",['Tsai Yueh Hsun'],[],"['Song Wei Long', 'Liu Hao Cun', 'Ao Rui Peng']",['https://i.mydramalist.com/YY1WZA_4f.jpg']
Sh**ting Stars,"['Comedy', 'Romance', 'Drama']","['Entertainment Industry', 'PR Specialist Female Lead', 'Multiple Mains']",['Lee Soo Hyun'],"['Choi Yeong U', 'Choi Yeon Seo']","['Lee Sung Kyung', 'Kim Young Dae', 'Yoon Jong Hoon']",['https://i.mydramalist.com/BAwvb_4f.jpg']
99.9: Criminal Lawyer,"['Mystery', 'Comedy', 'Law']","['Investigation', 'Signature Move', 'Law Firm Setting']","['Kaneko Fuminori', 'Kimura Hisashi', 'Okamoto Shingo']",['Uda Manabu'],"['Matsumoto Jun', 'Kagawa Teruyuki', 'Eikura Nana']",['https://i.mydramalist.com/exeee_4f.jpg']
Pro Bono,"['Comedy', 'Law', 'Life']","['Workplace Setting', 'Courtroom Setting', 'Judge Male Lead']",['Kim Seong Yoon'],['Moon Yoo Seok'],"['Jung Kyung Ho', 'So Ju Yeon', 'Yoon Na Moo']",['https://i.mydramalist.com/PxAXXy_4f.jpg']
One Day Off,"['Food', 'Life', 'Drama']","['Teacher Female Lead', 'Independent Female Lead', 'Traveling']",['Lee Jong Pil'],['Son Mi'],"['Lee Na Young', 'Jo Hyun Chul', 'Seo Hyeon Woo']",['https://i.mydramalist.com/pdBK8n_4f.jpg']
Gank Your Heart Special,"['Romance', 'Youth', 'Sports']","['Online Gamer Male Lead', 'Family Relationship', 'Gaming']",[],['Zhang Chan Juan'],"['Wang Yi Bo', 'Wang Zi Xuan', 'Jerry Yan']",['https://i.mydramalist.com/4450rf.jpg']
My Demon,"['Action', 'Comedy', 'Romance']","['Demon Male Lead', 'Supernatural', 'Heiress Female Lead']","['Kim Jang Han', 'Kwon Da Som']",['Choi Ah Il'],"['Kim You Jung', 'Song Kang', 'Lee Sang Yi']",['https://i.mydramalist.com/0w0mZ6_4f.jpg']
"Hello, My Twenties! Season 2","['Mystery', 'Comedy', 'Romance']","['Multiple Mains', 'Sismance', 'Trauma']","['Lee Tae Gon', 'Kim Sang Ho']",['Park Yeon Sun'],"['Han Ye Ri', 'Han Seung Yeon', 'Park Eun Bin']",['https://i.mydramalist.com/gWz4Wf.jpg']
If Talking Paid,"['Comedy', 'Life', 'Drama']","['Uncle-Niece Relationship', 'Smart Male Lead', 'Eccentric Male Lead']",['Nakajima Satoru'],['Kaneko Shigeki'],"['Ikuta Toma', 'Yasuda Ken', 'Koike Eiko']",['https://i.mydramalist.com/E0Q4O_4f.jpg']
Mercy for None,"['Action', 'Thriller', 'Crime']","['Noir', 'Gang', 'Revenge']",['Choi Sung Eun'],[],"['So Ji Sub', 'Huh Joon Ho', 'Ahn Kil Kang']",['https://i.mydramalist.com/mOE4Eb_4f.jpg']
My Roommate Is a Gumiho,"['Comedy', 'Romance', 'Fantasy']","['Calm Male Lead', 'Straightforward Female Lead', 'Cohabitation']",['Nam Sung Woo'],"['Baek Sun Woo', 'Choi Bo Rim']","['Jang Ki Yong', 'Lee Hye Ri', 'Kang Han Na']",['https://i.mydramalist.com/xJdOy_4f.jpg']
God's Gift: 14 Days,"['Thriller', 'Mystery', 'Drama']","['Time Travel', 'Violence Against Children', 'Emotionally Strong Female Lead']",['Lee Dong Hun'],['Choi Ran'],"['Lee Bo Young', 'Cho Seung Woo', 'Kim Tae Woo']",['https://i.mydramalist.com/mOxLqf.jpg']
City Hunter,"['Action', 'Thriller', 'Crime']","['Hidden Identity', 'Revenge', 'Corruption']",['Jin Hyeok'],"['Choi Su Jin', 'Hwang Eun Kyung']","['Lee Min Ho', 'Park Min Young', 'Lee Jun Hyuk']",['https://i.mydramalist.com/a81mlf.jpg']
The Auditors,"['Action', 'Thriller', 'Mystery']","['Auditor Supporting Character', 'Auditor Female Lead', 'Auditor Male Lead']",['Kwon Young Il'],['Choi Min Ho'],"['Shin Ha Kyun', 'Lee Jung Ha', 'Jin Goo']",['https://i.mydramalist.com/jQxqQz_4f.jpg']
Ugly Alert,"['Business', 'Romance', 'Melodrama']","['Rich Woman/Poor Man', 'Nice Male Lead', 'Female Chases Male First']","['Shin Yoon Sub', 'Min Yeon Hong']",['Jung Ji Woo'],"['Im Joo Hwan', 'Kang So Ra', 'Kang  Byul']",['https://i.mydramalist.com/akwJdf.jpg']
Midnight Diner,"['Food', 'Comedy', 'Life']","['Nice Male Lead', 'Episodic Format', 'LGBTQ+']","['Yamashita Nobuhiro', 'Matsuoka Joji']","['Mukai Kosuke', 'Manabe Katsuhiko', 'Wada Kiyoto']","['Kobayashi Kaoru', 'Matsushige Yutaka', 'Yamanaka Takashi']",['https://i.mydramalist.com/2wVPkf.jpg']
A River Runs through It,"['Comedy', 'Romance', 'Life']","['Friendship', 'Friends To Lovers', 'Slow Burn Romance']",['Sha Wei Qi'],['Jin Yuan Yuan'],"['Wang Rui Chang', 'Hu Yi Xuan', 'Chen Bo Hao']",['https://i.mydramalist.com/BdDPKR_4f.jpg']
The Love Equations: Extra Story,"['Comedy', 'Romance', 'Drama']","['Student Supporting Character', 'Student Female Lead', 'School Setting']",['Xing Xiao'],[],"['Gong Jun', 'Reyi Liu', 'Li Ge Yang']",['https://i.mydramalist.com/Xb4Xqf.jpg']
Psychopath Diary,"['Thriller', 'Mystery', 'Comedy']","['Black Comedy', 'Amnesia', 'Personality Change']",['Lee Jong Jae'],"['Ryu Yong Jae', 'Kim Hwan Chae', 'Choi Sung Joon']","['Yoon Shi Yoon', 'Jung In Sun', 'Park Sung Hoon']",['https://i.mydramalist.com/2g4yWf.jpg']
100 Days My Prince,"['Historical', 'Comedy', 'Romance']","['Amnesia', 'Hidden Identity', 'Joseon Dynasty']","['Lee Jong Jae', 'Nam Sung Woo']",['Noh Ji Sul'],"['Doh Kyung Soo', 'Nam Ji Hyun', 'Kim Seon Ho']",['https://i.mydramalist.com/p0yXrf.jpg']
Birthcare Center,"['Comedy', 'Life', 'Drama']","['Motherhood', 'Older Woman/Younger Man', 'Sismance']",['Park Soo Won'],"['Kim Ji Soo', 'Yoon Soo Min', 'Im Yeon Soo']","['Uhm Ji Won', 'Yoon Bak', 'Park Ha Sun']",['https://i.mydramalist.com/XOYRZ_4f.jpg']
Me and Who,"['Comedy', 'Romance', 'Fantasy']","['Adapted From A Web Novel', ""Stepbrothers' Relationship"", 'Gay Supporting Character']",['Osann Jirawat Tosuwan'],"['Natcha Kongmhun', 'Oxide Rungkun Soonthornleka', 'Kade  Pattarawadee Srichai']","['Big Thanakorn Kuljarassombat', 'Park Anantadej Sodsee', 'Jeng Chotipat Suthadsanasoung']",['https://i.mydramalist.com/nOLELE_4f.jpg']
Her Private Life,"['Business', 'Comedy', 'Romance']","['Boss-Employee Relationship', 'Independent Female Lead', 'Healing']",['Hong Jong Chan'],['Kim Hye Young'],"['Park Min Young', 'Kim Jae Wook', 'Ahn Bo Hyun']",['https://i.mydramalist.com/AvL7vf.jpg']
Five Enough,"['Comedy', 'Romance', 'Drama']","['Age Gap [Real Life]', 'Motherhood', 'Family Relationship']",['Kim Jung Gyu'],['Jung Hyun Jung'],"['Ahn Jae Wook', 'So Yoo Jin', 'Sung Hoon']",['https://i.mydramalist.com/WdX5mf.jpg']
No Pain No Gain,"['Comedy', 'Drama']","['Workplace Setting', 'Adapted From A Web Novel', 'Game Developer Supporting Character']","['Zhao Qi Chen', 'Liu Wen Yang']","['Ding Lu', 'Ji Sang Rou']","['Peng Yu Chang', 'Jelly Lin', 'Liu Guan Lin']",['https://i.mydramalist.com/LwO1mD_4f.jpg']
The Blossoming Love,"['Romance', 'Wuxia', 'Drama']","['Xianxia', 'Enemies To Lovers', 'Fate']",['Sam Ho'],['Qian Shi'],"['Vin Zhang', 'Sun Zhen Ni', 'Wang Duo']",['https://i.mydramalist.com/zBb8dz_4f.jpg']
"Kangchi, the Beginning","['Action', 'Historical', 'Romance']","['Interspecies Romance', 'Nine-tailed Fox', 'Superhuman Strength']","['Shin Woo Cheol', 'Kim Jung Hyun']",['Kang Eun Kyung'],"['Lee Seung Gi', 'Bae Suzy', 'Lee Sung Jae']",['https://i.mydramalist.com/doREzf.jpg']
Cold Case: Shinjitsu no Tobira,"['Thriller', 'Mystery', 'Drama']","['Investigation', 'Suspense', 'Death']",['Hatano Takafumi'],"['Zeze Takahisa', 'Yoshida Yasuhiro', 'Horai Ryuta']","['Yoshida Yoh', 'Nagayama Kento', 'Miura Tomokazu']",['https://i.mydramalist.com/55Noef.jpg']
One Spring Night,"['Romance', 'Life', 'Drama']","['Nice Male Lead', 'Family Pressure', 'Male Chases Female First']",['Ahn Pan Seok'],['Kim Eun'],"['Han Ji Min', 'Jung Hae In', 'Kim Jun Han']",['https://i.mydramalist.com/ABjr4q_4f.jpg']
Side Story of Fox Volant,"['Romance', 'Wuxia', 'Drama']","['Adapted From A Novel', 'Martial Arts', 'Action']",['Lian Yi Ming'],[],"['Qin Jun Jie', 'Liang Jie', 'Xing Fei']",['https://i.mydramalist.com/eB0Xd_4f.jpg']
Burnout Syndrome,"['Romance', 'Drama']","['Software Developer Male Lead', 'Gay Romance', 'Artist Male Lead']",['Nuchy Anucha Boonyawatana'],"['Nuchy Anucha Boonyawatana', 'Ben Sethinun Jariyavilaskul']","['Gun Atthaphan Phunsawat', 'Off Jumpol Adulkittiporn', 'Dew Jirawat Sutivanichsak']",['https://i.mydramalist.com/VXYDbv_4f.jpg']
I Don't Want to Be Friends with You,"['Comedy', 'Romance', 'Youth']","['Mother-Daughter Relationship', 'Time Travel', 'Friendship']",['Tian Yu'],"['Cheng Xiao Mao', 'Cheng Meng Yan']","['Sabrina Zhuang', 'Amy Chen', 'Zhou Yan Chen']",['https://i.mydramalist.com/k36VO_4f.jpg']
Glory,"['Historical', 'Business', 'Romance']","['Cunning Male Lead', 'Scheme', 'Hidden Identity']","['Guo Hao', 'Zhang Zhi Wei', 'Ma Shi Ge']","['Zhou Mo', 'Ren Ya Nan']","['Hou Ming Hao', 'Gulnezer Bextiyar', 'Chen Ruo Xuan']",['https://i.mydramalist.com/LwRV1r_4f.jpg']
Nobunaga Concerto,"['Action', 'Military', 'Historical']","['Power Struggle', 'Sengoku Period', 'Oda Nobunaga']","['Kanai Ko', 'Hayashi Toru', 'Matsuyama  Hiroaki']","['Uyama Keisuke', 'Tokunaga Yuichi', 'Nishida Masafumi', 'Okada Michitaka']","['Oguri Shun', 'Shibasaki Ko', 'Mukai Osamu']",['https://i.mydramalist.com/E0QbO_4f.jpg']
Doctor X Season 5,"['Comedy', 'Drama', 'Medical']","['Emotionally Strong Female Lead', 'Hospital Setting', 'Surgeon Female Lead']","['Matsuda Hidetomo', 'Tamura Naomi']","['Hayashi Makoto', 'Terada Toshio']","['Yonekura Ryoko', 'Uchida Yuki', 'Kishibe Ittoku']",['https://i.mydramalist.com/NvDjvf.jpg']
Iljimae,"['Action', 'Historical', 'Romance']","['Hidden Identity', 'Physically Strong Male Lead', 'Emotionally Strong Female Lead']",['Lee Yong Seok'],['Choi Ran'],"['Lee Joon Gi', 'Han Hyo Joo', 'Lee Young Ah']",['https://i.mydramalist.com/ak8r9f.jpg']
Tokyo MER: Mobile Emergency Room,"['Thriller', 'Drama', 'Medical']","['Doctor Male Lead', 'Rescue Team', 'Rescue Mission']","['Hirano Shunichi', 'Matsuki Aya', 'Izumi Masahide']",['Kuroiwa Tsutomu'],"['Suzuki Ryohei', 'Kaku Kento', 'Nakajo Ayami']",['https://i.mydramalist.com/Rd6yo_4f.jpg']
A Familiar Stranger,"['Historical', 'Romance', 'Supernatural']","['Identity Swap', 'Short Length Series', 'Hidden Identity']",['Zeng Qing Jie'],['Zhao Lin'],"['Ke Ying', 'Kay Song', 'Ryan Cheng']",['https://i.mydramalist.com/JBADzm_4f.jpg']
Nodame Cantabile in Europe,"['Music', 'Comedy', 'Romance']","['Classical Music', 'Eccentric Female Lead', 'Adapted From A Manga']",['Takeuchi Hideki'],['Eto Rin'],"['Tamaki Hiroshi', 'Ueno Juri', 'Wentz Eiji']",['https://i.mydramalist.com/2EvoR_4f.jpg']
Tomb of the Sea,"['Action', 'Adventure', 'Mystery']","['Tomb Raiding', 'Adapted From A Novel', 'Smart Male Lead']","['Li Ze Lu', 'Mao Kun Yu', 'Zou Xi']","['Zhang Yuan Ang', 'Tang Qi Cen', 'Zhao Liu Yi']","['Leo Wu', 'Qin Hao', 'Alina Zhang']",['https://i.mydramalist.com/NrwPnf.jpg']
Rookie Cops,"['Romance', 'Life', 'Youth']","['Police Academy', 'Coming Of Age', 'University']","['Kim Byung Soo', 'Kim Jung Wook']",['Lee Ha Na'],"['Kang Daniel', 'Chae Soo Bin', 'Lee Shin Young']",['https://i.mydramalist.com/vLV6B_4f.jpg']
Mobius,"['Action', 'Thriller', 'Mystery']","['Detective Male Lead', 'Time Loop', 'Serial Killings']",['Liu Zhang Mu'],['Bi Qiang'],"['Bai Jing Ting', 'Janice Man', 'Song Yang']",['https://i.mydramalist.com/73VR1B_4f.jpg']
The Time of Fever,"['Romance', 'Drama']","['Student Male Lead', 'Secret Crush', 'High School']",['Yang Kyung Hee'],['Shin Yoo'],"['Won Tae Min', 'Do Woo', 'Gong Chan']",['https://i.mydramalist.com/0weBq4_4f.jpg']
The King's Affection,"['Historical', 'Romance', 'Drama']","['Cross-Dressing', 'Hidden Identity', 'Joseon Dynasty']","['Song Hyun Wook', 'Lee Hyeon Seok']",['Han Hui Jeong'],"['Park Eun Bin', 'Ro Woon', 'Nam Yoon Su']",['https://i.mydramalist.com/XVVjx_4f.jpg']
The Sound of Your Heart,"['Comedy', 'Life', 'Sitcom']","['Mother-Son Relationship', 'Father-Son Relationship', 'Adapted From A Webtoon']",['Ha Byung Hoon'],"['Kwon Hye Joo', 'Kim Yeon Ji']","['Lee Kwang Soo', 'Kim Dae Myung', 'Jung So Min']",['https://i.mydramalist.com/EmBz0_4f.jpg']
Fireworks of My Heart,"['Action', 'Romance', 'Medical']","['Firefighter Male Lead', 'Forced Break-up', 'Doctor Female Lead']",['Li Mu Ge'],['Xu Su'],"['Yang Yang', 'Wang Chu Ran', 'Wang Yan Lin']",['https://i.mydramalist.com/JB7E6d_4f.jpg']
S.C.I,"['Thriller', 'Mystery', 'Psychological']","['Censored Adaptation Of Same-sex Original Work', 'Adapted From A Novel', 'Psychology']",['Shi Lei'],['Tang Qi Cen'],"['Gao Han Yu', 'Ji Xiao Bing', 'William Fan']",['https://i.mydramalist.com/qwk4Df.jpg']
I Feel You Linger in the Air,"['Historical', 'Romance', 'Drama']","['Time Travel', 'LGBTQ+', 'Adapted From A Novel']",['Tee Bundit Sintanaparadee'],"['Jungjing Wanna Kortunyavat', 'Somchai Tidsanawoot', 'Tan Ekarin Mungmee']","['Nonkul Chanon Santinatornkul', 'Bright Rapheephong Thapsuwan', 'Typhoon Kanokchat Munyad-on']",['https://i.mydramalist.com/1w4PO6_4f.jpg']
The Gifted Graduation,"['Thriller', 'Mystery', 'Psychological']","['High School', 'Multiple Mains', 'Friendship']",['Waa Waasuthep Ketpetch'],"['Waa Waasuthep Ketpetch', 'Yui Kanokphan Ornrattanasakul', 'Peanut Akira Decharat', 'Nawarat Thongpaiyut']","['Nanon Korapat Kirdpan', 'Chimon Wachirawit Ruangwiwat', 'Jane Methika Jiranorraphat']",['https://i.mydramalist.com/BDBgq_4f.jpg']
Testimony of N,"['Mystery', 'Romance', 'Drama']","['Death', 'Murder', 'Investigation']","['Tsukahara Ayuko', 'Anami Akihiro', 'Yamamoto Takeyoshi']",['Okudera Satoko'],"['Eikura Nana', 'Kubota Masataka', 'Kaku Kento']",['https://i.mydramalist.com/E0Qb0_4f.jpg']
Bloody Monday,"['Action', 'Thriller', 'Mystery']","['Hacker Male Lead', 'Terrorism', 'Genius Male Lead']","['Hatano Takafumi', 'Hirano Shunichi']",['Watanabe Yusuke'],"['Miura Haruma', 'Narimiya Hiroki', 'Kichise Michiko']",['https://i.mydramalist.com/X6Yox_4f.jpg']
He Is Psychometric,"['Thriller', 'Mystery', 'Romance']","['Psychometry', 'Nice Male Lead', 'Smart Female Lead']",['Kim Byung Soo'],['Yang Jin Ah'],"['Park Jin Young', 'Shin Ye Eun', 'Kim Kwon']",['https://i.mydramalist.com/qqPxdf.jpg']
Miracles,"['Life', 'Drama']","['Eccentric Male Lead', 'Healing', 'Independent Female Lead']","['Kono Keita', 'Hoshino Kazunari']","['Hashibe Atsuko', 'Gajin Shouta']","['Takahashi Issei', 'Eikura Nana', 'Kaname Jun']",['https://i.mydramalist.com/XXOkn_4f.jpg']
To My Beloved Thief,"['Historical', 'Comedy', 'Romance']","['Joseon Dynasty', 'Prince Male Lead', 'Body Swap']",[],[],"['Nam Ji Hyun', 'Moon Sang Min', 'Hong Min Ki']",['https://i.mydramalist.com/JBYLVX_4f.jpg']
Vampire Prosecutor Season 2,"['Action', 'Mystery', 'Drama']","['Supernatural Power', 'Police Procedural', 'Death']",['Yoo Seon Dong'],"['Han Jung Hoon', 'Kang Eun Seon']","['Yeon Jung Hoon', 'Lee Young Ah', 'Lee Won Jong']",['https://i.mydramalist.com/AB71Lf.jpg']
Three-Body,"['Thriller', 'Mystery', 'Drama']","['Scientist Male Lead', 'Adapted From A Novel', 'Historical Fiction']",['Yang Lei'],"['Tian Liang Liang', 'Meng Yang']","['Edward Zhang', 'Yu He Wei', 'Chen Jin']",['https://i.mydramalist.com/dPP3D_4f.jpg']
Beyond the Bar,"['Law', 'Life']","['Age Gap [Drama Life]', 'Lawyer Male Lead', 'Lawyer Female Lead']",['Kim Jae Hong'],['Park Mi Hyeon'],"['Lee Jin Wook', 'Jung Chae Yeon', 'Lee Hak Joo']",['https://i.mydramalist.com/l0qkjE_4f.jpg']
Descendants of the Sun: Recap Special,"['Action', 'Military', 'Romance']","['Miniseries', 'Melodrama', 'Drama']",[],[],"['Song Hye Kyo', 'Song Joong Ki', 'Jin Goo']",['https://i.mydramalist.com/1Omx7f.jpg']
Love Next Door,"['Comedy', 'Romance', 'Family']","['Childhood Connection', 'Friends To Lovers', 'Friendship']",['Yoo Je Won'],['Shin Ha Eun'],"['Jung Hae In', 'Jung So Min', 'Kim Ji Eun']",['https://i.mydramalist.com/x4ngkw_4f.jpg']
The Hymn of Death,"['Music', 'Historical', 'Romance']","['Forbidden Love', 'Based On A True Story', 'Miniseries']",['Park Soo Jin'],['Jo Soo Jin'],"['Lee Jong Suk', 'Shin Hae Sun', 'Park Seon Im']",['https://i.mydramalist.com/g2Jxrf.jpg']
Si Jin,"['Historical', 'Romance', 'Family']","['Age Gap [Real Life]', 'Brave Male Lead', 'Determined Female Lead']","['Li Cai', 'Wang Wei']",[],"['Jing Tian', 'Zhang Wan Yi', 'Sun Zu Jun']",['https://i.mydramalist.com/l0NnzJ_4f.jpg']
Kotaro Lives Alone,"['Comedy', 'Drama']","['Unusual Friendship', 'Adapted From A Manga', 'Domestic Crime']",['Matsumoto Kana'],['Eto Rin'],"['Yokoyama Yu', 'Kawahara Eito', 'Yamamoto Maika']",['https://i.mydramalist.com/Wql6W_4f.jpg']
"Safe Skies, Archer","['Comedy', 'Romance', 'Drama']","['Wild Female Lead', 'School Setting', 'Adapted From A Web Novel']",['Gino M. Santos'],[],"['Krissha Viaje', 'Jerome Ponce', 'Jairus Aquino']",['https://i.mydramalist.com/vXOvOq_4f.jpg']
Devil,"['Thriller', 'Mystery', 'Drama']","['Revenge', 'Death', 'Double Identity']","['Kato Arata', 'Tsuboi Toshio']","['Maekawa Yoichi', 'Nishida Masafumi']","['Ohno Satoshi', 'Ikuta Toma', 'Kobayashi Ryoko']",['https://i.mydramalist.com/ABer3f.jpg']
The Tale of Nokdu,"['Action', 'Historical', 'Comedy']","['Cross-Dressing', 'Joseon Dynasty', 'Hidden Identity']","['Kim Dong Hwi', 'Lee Hyun Jin', 'Kang Soo Yeon']","['Baek So Yeon', 'Im Ye Jin']","['Jang Dong Yoon', 'Kim So Hyun', 'Kang Tae Oh']",['https://i.mydramalist.com/23k3Of.jpg']
Liar Game,"['Thriller', 'Psychological', 'Drama']","['Smart Male Lead', 'Naive Female Lead', 'Game']","['Matsuyama  Hiroaki', 'Ohki Ayako', 'Ueda Yasushi']",['Furuya Kazunao'],"['Toda Erika', 'Matsuda Shota', 'Suzuki Kosuke']",['https://i.mydramalist.com/EzD4l_4f.jpg']
NIZI Village Clinic,"['Comedy', 'Life', 'Medical']","[""Co-workers' Relationship"", 'Village Setting', 'Nurse Male Lead']",['Fukagawa Yoshihiro'],['Okada Yoshikazu'],"['Takahata Mitsuki', 'Iura Arata', 'Kitamura Takumi']",['https://i.mydramalist.com/jYYkJ_4f.jpg']
Code Blue Season 2,"['Drama', 'Medical']","[""Co-workers' Relationship"", 'Hospital Setting', 'Doctor Supporting Character']","['Nishiura Masaki', 'Hayama Hiroki', 'Sekino Munenori']",['Hayashi Koji'],"['Yamashita Tomohisa', 'Aragaki Yui', 'Toda Erika']",['https://i.mydramalist.com/JZmlJf.jpg']
White Cat Legend,"['Adventure', 'Historical', 'Mystery']","['Friendship', ""Teammates' Relationship"", 'Minister Male Lead']",['Wang Wei'],[],"['Ding Yu Xi', 'Zhou Qi', 'Ding Jia Wen']",['https://i.mydramalist.com/0wN6z4_4f.jpg']
A Calm Sea and Beautiful Days with You,"['Historical', 'Romance', 'Life']","['Shy Female Lead', 'Arranged Marriage', 'Shy Male Lead']",['Hirano Shin'],['Izumisawa Yoko'],"['Yoshine Kyoko', 'Honda Kyoya', 'Yamamoto Maika']",['https://i.mydramalist.com/3oA8b4_4f.jpg']
Our Youth: After Story,"['Romance', 'Drama']","['Closeted Male Lead', 'Gay Male Lead', 'Engaged Male Lead']","['Shibata Keisuke', 'Makino Masaru']","['Morino Mash', 'Matsushita Saaya']","['Motojima Junsei', 'Kamimura Kenshin', 'Nishihara Aki']",['https://i.mydramalist.com/O8oPJ3_4f.jpg']
Bloody Monday Season 2,"['Action', 'Thriller', 'Mystery']","['Staged Death', 'Emotionally Strong Male Lead', 'Antihero Male Lead']","['Aso Manabu', 'Hirano Shunichi']",['Watanabe Yusuke'],"['Miura Haruma', 'Narimiya Hiroki', 'Satoh Takeru']",['https://i.mydramalist.com/Xd1WXf.jpg']
